id,category_id,name,sort_order,enabled,created_at,updated_at
11000000-0000-0000-0000-000000000000,10000000-0000-0000-0000-000000000001,无疵点,0,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000001,破洞,1,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000001,水渍,2,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000001,油渍,3,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000001,污渍,4,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000001,三丝,5,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000001,结头,6,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000001,花板跳,7,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000001,百脚,8,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000001,毛粒,9,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000010,10000000-0000-0000-0000-000000000001,粗经,10,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000011,10000000-0000-0000-0000-000000000001,松经,11,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000012,10000000-0000-0000-0000-000000000001,断经,12,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000013,10000000-0000-0000-0000-000000000001,吊经,13,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000014,10000000-0000-0000-0000-000000000001,粗维,14,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000015,10000000-0000-0000-0000-000000000001,纬缩,15,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000016,10000000-0000-0000-0000-000000000001,浆斑,16,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000017,10000000-0000-0000-0000-000000000001,整经结,17,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000018,10000000-0000-0000-0000-000000000001,星跳,18,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000019,10000000-0000-0000-0000-000000000001,跳花,19,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000020,10000000-0000-0000-0000-000000000001,断氨纶,20,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000021,10000000-0000-0000-0000-000000000001,稀密档,21,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000022,10000000-0000-0000-0000-000000000001,浪纹档,22,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000023,10000000-0000-0000-0000-000000000001,色差档,23,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000024,10000000-0000-0000-0000-000000000001,磨痕,24,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000025,10000000-0000-0000-0000-000000000001,轧痕,25,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000026,10000000-0000-0000-0000-000000000001,修痕,26,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000027,10000000-0000-0000-0000-000000000001,烧毛痕,27,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000028,10000000-0000-0000-0000-000000000001,死皱,28,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000029,10000000-0000-0000-0000-000000000001,云织,29,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000030,10000000-0000-0000-0000-000000000001,双纬,30,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000031,10000000-0000-0000-0000-000000000001,双经,31,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000032,10000000-0000-0000-0000-000000000001,跳纱,32,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000033,10000000-0000-0000-0000-000000000001,筘路,33,true,2026-04-24T00:00:00,2026-04-24T00:00:00
11000000-0000-0000-0000-000000000034,10000000-0000-0000-0000-000000000001,纬纱不良,34,true,2026-04-24T00:00:00,2026-04-24T00:00:00
